FID,POINT_X,POINT_Y,Depth
0,620890.099999999976717,9759824.000000000000000,-1.3000000
1,620922.400000000023283,9759843.199999999254942,-0.8000000
2,620911.400000000023283,9759824.800000000745058,-2.5000000
3,620894.099999999976717,9759792.400000000372529,-0.5000000
4,620937.300000000046566,9759809.199999999254942,-0.5000000
5,620926.199999999953434,9759791.400000000372529,-2.0999999
6,620928.300000000046566,9759761.400000000372529,-2.2000000
7,620960.900000000023283,9759769.800000000745058,-1.0000000
8,620964.500000000000000,9759732.199999999254942,-1.7000000
9,620993.500000000000000,9759743.400000000372529,-1.3000000
10,620998.000000000000000,9759714.199999999254942,-2.0000000
11,621030.500000000000000,9759725.199999999254942,-0.5000000
12,621029.699999999953434,9759691.199999999254942,-2.2000000
13,621052.400000000023283,9759705.300000000745058,-2.0999999
14,621072.300000000046566,9759710.199999999254942,-0.9000000
15,621062.199999999953434,9759675.199999999254942,-1.7000000
16,621082.500000000000000,9759678.000000000000000,-3.0000000
17,621091.000000000000000,9759700.000000000000000,-0.5000000
18,621102.599999999976717,9759682.900000000372529,-1.4000000
19,621091.099999999976717,9759653.900000000372529,-1.5000000
20,621123.099999999976717,9759677.099999999627471,-0.6000000
21,621112.400000000023283,9759643.199999999254942,-2.0000000
22,621120.099999999976717,9759623.400000000372529,-1.3000000
23,621152.000000000000000,9759649.000000000000000,-0.8000000
24,621154.800000000046566,9759628.099999999627471,-1.3000000
25,621122.199999999953434,9759600.099999999627471,-0.7000000
26,621122.199999999953434,9759568.900000000372529,-0.5000000
27,621141.800000000046566,9759573.800000000745058,-1.4000000
28,621167.900000000023283,9759570.599999999627471,-1.1000000
29,621149.900000000023283,9759552.099999999627471,-2.2000000
30,621131.300000000046566,9759543.599999999627471,-0.8000000
31,621129.099999999976717,9759523.400000000372529,-0.9000000
32,621149.099999999976717,9759523.900000000372529,-2.2000000
33,621171.199999999953434,9759508.800000000745058,-1.0000000
34,621150.599999999976717,9759498.599999999627471,-2.9000001
35,621131.099999999976717,9759490.400000000372529,-1.5000000
36,621126.099999999976717,9759470.099999999627471,-0.6000000
37,621150.300000000046566,9759468.300000000745058,-2.9000001
38,621171.599999999976717,9759457.900000000372529,-0.7000000
39,621147.099999999976717,9759438.500000000000000,-2.5999999
40,621146.500000000000000,9759418.300000000745058,-1.0000000
41,621169.099999999976717,9759423.599999999627471,-2.5999999
42,621187.500000000000000,9759415.500000000000000,-1.3000000
43,621160.699999999953434,9759378.099999999627471,-0.7000000
44,621184.300000000046566,9759395.400000000372529,-2.5000000
45,621205.900000000023283,9759381.199999999254942,-1.5000000
46,621181.900000000023283,9759358.099999999627471,-0.5000000
47,621202.800000000046566,9759357.900000000372529,-3.9000001
48,621223.000000000000000,9759369.599999999627471,-1.7000000
49,621222.699999999953434,9759346.300000000745058,-2.7000000
50,621251.699999999953434,9759357.699999999254942,-1.6000000
51,621270.300000000046566,9759350.099999999627471,-2.0999999
52,621277.400000000023283,9759322.800000000745058,-1.2000000
53,621295.599999999976717,9759336.300000000745058,-4.0000000
54,621316.199999999953434,9759341.300000000745058,-0.8000000
55,621318.800000000046566,9759319.900000000372529,-3.3000000
56,621332.000000000000000,9759295.500000000000000,-2.0999999
57,621344.300000000046566,9759315.099999999627471,-3.0000000
58,621362.400000000023283,9759325.300000000745058,-0.9000000
59,621365.500000000000000,9759303.599999999627471,-2.8000000
60,621374.000000000000000,9759273.699999999254942,-1.9000000
61,621393.099999999976717,9759301.099999999627471,-2.5999999
62,621410.199999999953434,9759312.900000000372529,-0.9000000
63,621413.599999999976717,9759292.099999999627471,-2.5999999
64,621418.800000000046566,9759262.500000000000000,-2.2000000
65,621435.800000000046566,9759287.800000000745058,-2.7000000
66,621448.000000000000000,9759304.500000000000000,-0.8000000
67,621465.199999999953434,9759293.500000000000000,-1.5000000
68,621468.000000000000000,9759255.400000000372529,-1.3000000
69,621487.500000000000000,9759262.900000000372529,-3.4000001
70,621494.099999999976717,9759282.199999999254942,-1.6000000
71,621511.900000000023283,9759271.000000000000000,-2.8000000
72,621508.099999999976717,9759246.500000000000000,-2.9000001
73,621520.699999999953434,9759229.900000000372529,-1.2000000
74,621534.400000000023283,9759252.900000000372529,-3.0999999
75,621546.099999999976717,9759272.800000000745058,-0.8000000
76,621561.000000000000000,9759258.300000000745058,-3.0000000
77,621556.099999999976717,9759234.099999999627471,-2.8000000
78,621567.199999999953434,9759215.900000000372529,-1.3000000
79,621579.099999999976717,9759236.300000000745058,-2.9000001
80,621597.699999999953434,9759253.900000000372529,-2.2000000
81,621605.400000000023283,9759230.099999999627471,-3.0000000
82,621604.800000000046566,9759207.900000000372529,-1.8000000
83,621624.800000000046566,9759197.400000000372529,-1.3000000
84,621630.900000000023283,9759218.400000000372529,-2.9000001
85,621641.000000000000000,9759245.300000000745058,-1.2000000
86,621657.900000000023283,9759233.500000000000000,-3.0000000
87,621652.800000000046566,9759205.699999999254942,-2.9000001
88,621664.800000000046566,9759187.000000000000000,-1.0000000
89,621673.900000000023283,9759215.900000000372529,-3.0000000
90,621680.900000000023283,9759236.800000000745058,-2.0000000
91,621701.500000000000000,9759183.099999999627471,-1.2000000
92,621706.199999999953434,9759221.400000000372529,-2.5999999
93,621722.300000000046566,9759237.000000000000000,-0.9000000
94,621734.400000000023283,9759220.099999999627471,-2.4000001
95,621736.099999999976717,9759181.400000000372529,-2.3000000
96,621752.800000000046566,9759210.599999999627471,-2.7000000
97,621761.199999999953434,9759231.199999999254942,-1.2000000
98,621781.699999999953434,9759231.699999999254942,-0.8000000
99,621782.000000000000000,9759211.199999999254942,-2.7000000
100,621786.199999999953434,9759178.699999999254942,-1.7000000
101,621807.599999999976717,9759207.400000000372529,-2.5000000
102,621815.500000000000000,9759226.300000000745058,-0.3000000
103,621835.500000000000000,9759210.900000000372529,-1.0000000
104,621829.099999999976717,9759186.400000000372529,-3.7000000
105,621837.800000000046566,9759165.099999999627471,-1.2000000
106,621853.099999999976717,9759179.400000000372529,-3.4000001
107,621853.800000000046566,9759202.500000000000000,-3.4000001
108,621858.000000000000000,9759231.699999999254942,-0.5000000
109,621873.699999999953434,9759244.300000000745058,-3.0999999
110,621879.000000000000000,9759223.099999999627471,-4.9000001
111,621876.000000000000000,9759187.599999999627471,-5.5999999
112,621873.900000000023283,9759166.099999999627471,-3.0000000
113,621887.099999999976717,9759150.300000000745058,-1.4000000
